Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,ORB,3,4840,423,3.500,12.250,2.186,1.201,MAT_BF,SEL_KNN,298,8.498,134.273,0.975
FAST,ORB,4,4856,386,3.500,12.250,2.292,1.334,MAT_BF,SEL_KNN,321,8.665,127.702,0.953
FAST,ORB,5,4899,414,3.500,12.250,2.124,1.319,MAT_BF,SEL_KNN,283,7.975,116.498,0.880
FAST,ORB,6,4870,418,3.500,12.250,2.290,1.329,MAT_BF,SEL_KNN,315,8.011,126.770,0.970
FAST,ORB,7,4868,406,3.500,12.250,2.206,1.283,MAT_BF,SEL_KNN,323,8.053,130.678,0.938
FAST,ORB,8,4996,396,3.500,12.250,2.208,1.439,MAT_BF,SEL_KNN,302,8.002,131.720,0.895
FAST,ORB,9,4997,401,3.500,12.250,2.366,1.204,MAT_BF,SEL_KNN,311,8.196,137.945,1.067

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms))
FAST,FREAK,0,5063,419,3.500,12.250,2.322,40.370,MAT_BF,SEL_KNN,0,0.000,0.000,0.000
FAST,FREAK,1,4952,427,3.500,12.250,2.229,35.659,MAT_BF,SEL_KNN,251,20.763,666.428,1.132
FAST,FREAK,2,4863,404,3.500,12.250,2.289,37.263,MAT_BF,SEL_KNN,247,19.666,604.688,1.013
FAST,FREAK,3,4840,423,3.500,12.250,2.293,34.215,MAT_BF,SEL_KNN,233,21.320,688.608,1.083
FAST,FREAK,4,4856,386,3.500,12.250,2.257,34.137,MAT_BF,SEL_KNN,255,21.673,704.989,1.021
FAST,FREAK,5,4899,414,3.500,12.250,2.213,33.814,MAT_BF,SEL_KNN,231,21.039,653.046,0.970
FAST,FREAK,6,4870,418,3.500,12.250,2.238,33.989,MAT_BF,SEL_KNN,265,20.857,627.911,1.080
FAST,FREAK,7,4868,406,3.500,12.250,2.507,35.154,MAT_BF,SEL_KNN,251,18.598,555.460,1.052
